实体类型,图层,颜色,线型,线宽,线型描述,线型图案,类型/名称,块名,值,覆盖值,位置 X,位置 Y,起点 X,起点 Y,终点 X,终点 Y,圆心 X,圆心 Y,半径,顶点数据,闭合,高度,角度,尺寸编码,起始角度,终止角度,缩放比例
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格-前吊耳,,,,,-230.4,40,-230.4,80,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格-前吊耳,,,,,-240,0,-240,40,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格-前吊耳,,,,,-264,0,-264,40,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格-前吊耳,,,,,-259.2,40,-259.2,80,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格-前吊耳,,,,,-208,40,-208,80,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格-前吊耳,,,,,-216,0,-216,40,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格-前吊耳,,,,,-64,0,-64,80,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 表格-前吊耳,,,,,-288,8,-96,8,,,,,,,,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格-前吊耳,{\W0.7;\T1.1;标记},,-285.6,47.2,,,,,,,,,,4.8,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格-前吊耳,{\W0.7;\T1.1;处数},,-271.2,47.2,,,,,,,,,,4.8,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格-前吊耳,{\W0.7;\T1.1;更改文件名},,-256.8,47.2,,,,,,,,,,4.8,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格-前吊耳,{\W0.7;\T1.1;签名},,-222.8,47.2,,,,,,,,,,4.8,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格-前吊耳,{\W0.7;\T1.1;日期},,-203.2,47.2,,,,,,,,,,4.8,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格-前吊耳,{\W0.7;\T1.1;设计},,-280,38.8,,,,,,,,,,4.8,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格-前吊耳,{\W0.7;\T1.1;制图},,-280,30.8,,,,,,,,,,4.8,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格-前吊耳,{\W0.7;\T1.1;审核},,-280,23.2,,,,,,,,,,4.8,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格-前吊耳,{\W0.7;\T1.1;材料},,-185.6,36,,,,,,,,,,5.6,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格-前吊耳,{\W0.7;\T1.1;数量},,-162,35.6,,,,,,,,,,5.6,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格-前吊耳,{\W0.7;\T1.1;重量},,-138,35.6,,,,,,,,,,5.6,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格-前吊耳,{\W0.7;\T1.1;比例},,-114,35.6,,,,,,,,,,5.6,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格-前吊耳,{\W0.7;\T1.1;项目名称},,-92.8,74,,,,,,,,,,6.4,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格-前吊耳,{\W0.7;\T1.1;零件名称},,-92.8,54,,,,,,,,,,6.4,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格-前吊耳,{\W0.7;\T1.1;产品型号},,-92.8,34,,,,,,,,,,6.4,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格-前吊耳,{\W0.7;\T1.1;图纸编号},,-92,14,,,,,,,,,,6.4,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格-前吊耳,{\W0.7;\T1.1;日期},,-232,38.524,,,,,,,,,,4.8,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格-前吊耳,{\W0.7;\T1.1;日期},,-232,30.758,,,,,,,,,,4.8,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格-前吊耳,{\W0.7;\T1.1;日期},,-232,22.678,,,,,,,,,,4.8,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格-前吊耳,{\W0.7;\T1.1;日期},,-232,6.77,,,,,,,,,,4.8,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格-前吊耳,{\W0.7;\T1.1;第         页},,-180,5.522,,,,,,,,,,3.2,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格-前吊耳,{\W0.7;\T1.1;共         页},,-130,5.692,,,,,,,,,,3.2,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格-前吊耳,{\W0.56;\T1.1;这是一个超级长的项目名称},,-64,74,,,,,,,,,,6.4,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格-前吊耳,{\W0.7;\T1.1;前吊耳},,-42,54,,,,,,,,,,6.4,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格-前吊耳,{\W0.78;\T1.1;VFD-400-30},,-50,33.2,,,,,,,,,,6.4,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格-前吊耳,{\W0.7;\T1.1;10},,-158.468,18.911,,,,,,,,,,5.6,0,,,,
MTEXT,粗实线层,0,BYLAYER,-1,,,,引用于: 表格-前吊耳,{\W0.7;\T1.1;45#},,-184.157,19.115,,,,,,,,,,5.6,0,,,,
MTEXT,尺寸线层,256,BYLAYER,-1,,,,,"\pxi-1,l1;{\H1.11111x;\W0.67;\T1.3;     技术要求\P\H0.699999x;\W0.667;\T1.1;1.加工后的零件不允许有毛刺、飞边。\P2.未标注倒角：1*45%%D。\P3.未注沟槽倒圆角R≤0.3.\P}",,278.731,-155.901,,,,,,,,,,9,0,,,,
INSERT,0,256,BYLAYER,-1,,,,块名: 图框-前吊耳,,,-160,-340,,,,,,,,,,,,,,,
LINE,细实线层,256,BYLAYER,-1,,,,引用于: 图框-前吊耳,,,,,712.8,504,0,504,,,,,,,,,,,
LINE,细实线层,256,BYLAYER,-1,,,,引用于: 图框-前吊耳,,,,,0,504,0,0,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 图框-前吊耳,,,,,12,492,12,12,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 图框-前吊耳,,,,,700.8,492,12,492,,,,,,,,,,,
LINE,细实线层,256,BYLAYER,-1,,,,引用于: 图框-前吊耳,,,,,0,0,712.8,0,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 图框-前吊耳,,,,,12,12,700.8,12,,,,,,,,,,,
LINE,细实线层,256,BYLAYER,-1,,,,引用于: 图框-前吊耳,,,,,712.8,0,712.8,504,,,,,,,,,,,
