实体类型,图层,颜色,线型,线宽,线型描述,线型图案,类型/名称,块名,值,覆盖值,位置 X,位置 Y,起点 X,起点 Y,终点 X,终点 Y,圆心 X,圆心 Y,半径,顶点数据,闭合,高度,角度,尺寸编码,起始角度,终止角度,缩放比例,尺寸样式
TEXT,尺寸线层,0,ByBlock,-2,,,,引用于: *X33,1:3.6,,-37.556,-40.95,,,,,,,,,,31.5,0,,,,,
LINE,细实线层,0,ByBlock,-2,,,,引用于: *X33,,,,,-38.101,0,38.101,0,,,,,,,,,,,,
INSERT,粗实线层,256,BYLAYER,-1,,,,块名: *X34,,,268.9,2129.418,,,,,,,,,,,,,,,,
INSERT,0,256,BYLAYER,-1,,,,块名: *X35,,,0,0,,,,,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: *X35,,,,,16.627,29.521,-33.761,-2.853,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: *X35,,,,,-19.417,6.363,6.085,-33.33,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: *X35,,,,,9.749,7.218,27.288,-20.081,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: *X35,,,,,-18.086,7.218,9.749,7.218,,,,,,,,,,,,
INSERT,0,256,BYLAYER,-1,,,,块名: *X35,,,0,0,,,,,,,,,,,,,,,,
CIRCLE,粗实线层,256,BYLAYER,-1,,,,引用于: *X34,,,,,,,,,0,0,33.881,,,,,,,,,
LINE,0,256,BYLAYER,-1,,,,,,,,,1832.018,648.138,1857.418,648.138,,,,,,,,,,,,
LINE,0,256,BYLAYER,-1,,,,,,,,,1857.418,648.138,1857.418,936.138,,,,,,,,,,,,
LINE,0,256,BYLAYER,-1,,,,,,,,,1566.4,648.138,1566.4,936.138,,,,,,,,,,,,
LINE,0,256,BYLAYER,-1,,,,,,,,,1566.4,936.138,1629.4,936.138,,,,,,,,,,,,
LINE,0,256,BYLAYER,-1,,,,,,,,,1654.4,911.138,1654.4,648.138,,,,,,,,,,,,
LINE,0,256,BYLAYER,-1,,,,,,,,,1654.4,648.138,1566.4,648.138,,,,,,,,,,,,
INSERT,尺寸线层,256,BYLAYER,-1,,,,块名: *X36,,,1734.19,1032.772,,,,,,,,,,,,,,,,
LINE,尺寸线层,0,Continuous,-1,,,,引用于: *X36,,,,,117.777,-116.213,93.514,-0,,,,,,,,,,,,
HATCH,尺寸线层,0,Continuous,-1,,,SOLID,引用于: *X36,,,,,,,,,,,,"(117.777, -116.213); (103.662, -75.028); (103.662, -75.028); (114.234, -72.821); (114.234, -72.821); (117.777, -116.213)",,,,,,,1,
LINE,尺寸线层,0,BYLAYER,-1,,,,引用于: *X36,,,,,93.514,-0,-139.486,-0,,,,,,,,,,,,
MTEXT,尺寸线层,0,BYLAYER,-1,,,,引用于: *X36,\T1.1;单边坡口（一半）,,-0,31.668,,,,,,,,,,37.8,0,,,,,
INSERT,尺寸线层,256,BYLAYER,-1,,,,块名: *X37,,,2200.897,1036.945,,,,,,,,,,,,,,,,
LINE,尺寸线层,0,Continuous,-1,,,,引用于: *X37,,,,,-131.772,-120.386,-93.514,0,,,,,,,,,,,,
HATCH,尺寸线层,0,Continuous,-1,,,SOLID,引用于: *X37,,,,,,,,,,,,"(-131.772, -120.386); (-123.835, -77.579); (-123.835, -77.579); (-113.542, -80.851); (-113.542, -80.851); (-131.772, -120.386)",,,,,,,1,
LINE,尺寸线层,0,BYLAYER,-1,,,,引用于: *X37,,,,,-93.514,0,139.486,0,,,,,,,,,,,,
MTEXT,尺寸线层,0,BYLAYER,-1,,,,引用于: *X37,\T1.1;单边坡口（一半）,,0,31.668,,,,,,,,,,37.8,0,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,1855.018,936.138,1832.018,913.138,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,1857.418,936.138,1855.018,936.138,,,,,,,,,,,,
LINE,0,256,BYLAYER,-1,,,,,,,,,1832.018,648.138,1832.018,913.138,,,,,,,,,,,,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,,2.4,<>,1857.418,960.366,1855.018,936.138,1857.418,936.138,,,,,,,0,160,,,,标准
LINE,0,256,BYLAYER,-1,,,,,,,,,2087.266,648.138,2061.866,648.138,,,,,,,,,,,,
LINE,0,256,BYLAYER,-1,,,,,,,,,2061.866,648.138,2061.866,936.138,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,2064.266,936.138,2087.266,913.138,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,2061.866,936.138,2064.266,936.138,,,,,,,,,,,,
LINE,0,256,BYLAYER,-1,,,,,,,,,2087.266,648.138,2087.266,913.138,,,,,,,,,,,,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,,2.4,<>,2061.866,960.366,2064.266,936.138,2061.866,936.138,,,,,,,0,160,,,,标准
ARC,粗实线层,256,BYLAYER,-1,,,,,,,,,,,,,1654.4,936.138,25,,,,,,180,270,,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,RADIUS,,25,,1715.427,984.328,,,,,1654.4,936.138,,,,,-120.627,36,,,,标准
INSERT,粗实线层,256,BYLAYER,-1,,,,块名: 主视图,,,1173.426,1822.313,,,,,,,,,,,,,,,,
LINE,中心线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,-436.464,448.086,-148.576,0,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,-331.298,515.652,331.298,515.652,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,-541.629,380.519,-541.629,0,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,-541.629,380.519,-331.298,515.652,,,,,,,,,,,,
LINE,中心线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,436.464,448.086,148.576,0,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,541.629,380.519,541.629,-0,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,541.629,380.519,331.298,515.652,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,-541.629,0,541.629,0,,,,,,,,,,,,
LINE,中心线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,0,515.652,0,-3,,,,,,,,,,,,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,引用于: 主视图,148.576,<>,-148.576,-61.796,0,-3,-148.576,0,,,,,,,0,160,,,,标准
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,引用于: 主视图,148.576,<>,148.576,-61.796,0,-3,148.576,0,,,,,,,0,160,,,,标准
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,-555.629,380.519,-555.629,0,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,-555.629,0,-541.629,0,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,-555.629,380.519,-541.629,380.519,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,555.629,380.519,555.629,0,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,555.629,380.519,541.629,380.519,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,555.629,0,541.629,0,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,-331.298,529.652,331.298,529.652,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,-331.298,529.652,-331.298,515.652,,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: 主视图,,,,,331.298,529.652,331.298,515.652,,,,,,,,,,,,
TEXT,粗符号线,256,BYLAYER,-1,,,,引用于: 主视图,1,,226.115,563.238,,,,,,,,,,25,0,,,,,
LWPOLYLINE,粗符号线,256,BYLAYER,-1,,,,引用于: 主视图,,,,,,,,,,,,"(271.128, 540.571, 0, 0, 0); (271.128, 583.071, 0, 0, 0); (246.128, 583.071, 0, 0, 0)",否,,,,,,,
LWPOLYLINE,粗符号线,256,BYLAYER,-1,,,,引用于: 主视图,,,,,,,,,,,,"(246.128, -49.297, 0, 0, 0); (271.128, -49.297, 0, 0, 0); (271.128, -9.297, 0, 0, 0)",否,,,,,,,
TEXT,粗符号线,256,BYLAYER,-1,,,,引用于: 主视图,1,,226.115,-52.83,,,,,,,,,,25,0,,,,,
LWPOLYLINE,粗符号线,256,BYLAYER,-1,,,,引用于: 主视图,,,,,,,,,,,,"(-560.762, 260.568, 0, 0, 0); (-600.762, 260.568, 0, 0, 0); (-600.762, 285.568, 0, 0, 0)",否,,,,,,,
